dataset,method,seed,run_tag,result_group,ablation_family,avg_accuracy,forgetting,backward_transfer,forward_transfer
split_cifar10,er_ewc,123,lambda10,ablations,lambda,27.22,68.75,-68.75,-15.5792
split_cifar10,er_ewc,456,lambda10,ablations,lambda,23.44,72.4375,-72.4375,-15.7417
split_cifar10,er_ewc,789,lambda10,ablations,lambda,21.86,75.8125,-75.8125,-14.2042
split_cifar10,er_ewc,1024,lambda10,ablations,lambda,19.03,78.575,-78.575,-15.4792
split_cifar10,er_ewc,42,lambda100,ablations,lambda,22.94,73.0625,-73.0625,-15.5167
split_cifar10,er_ewc,123,lambda100,ablations,lambda,23.6,73.325,-73.325,-15.5792
split_cifar10,er_ewc,456,lambda100,ablations,lambda,24.67,71.6375,-71.6375,-15.7417
split_cifar10,er_ewc,789,lambda100,ablations,lambda,22.03,76.975,-76.975,-14.2042
split_cifar10,er_ewc,1024,lambda100,ablations,lambda,24.37,70.8125,-70.8125,-15.4792
split_cifar10,er_ewc,42,lambda1000,ablations,lambda,26.13,68.95,-68.95,-15.5167
split_cifar10,er_ewc,123,lambda1000,ablations,lambda,29.22,67.625,-67.625,-15.5792
split_cifar10,er_ewc,456,lambda1000,ablations,lambda,24.05,72.475,-72.475,-15.7417
split_cifar10,er_ewc,789,lambda1000,ablations,lambda,26.56,72.2625,-72.2625,-14.2042
split_cifar10,er_ewc,1024,lambda1000,ablations,lambda,21.95,74.2,-74.2,-15.4792
split_cifar10,ewc,42,lambda1,ablations,lambda,17.02,76.775,-76.775,-16.0042
split_cifar10,ewc,123,lambda1,ablations,lambda,16.47,80.0125,-80.0125,-15.9917
split_cifar10,ewc,456,lambda1,ablations,lambda,15.7,81.45,-81.45,-14.7292
split_cifar10,ewc,789,lambda1,ablations,lambda,16.0,78.4375,-78.4375,-14.8167
split_cifar10,ewc,1024,lambda1,ablations,lambda,16.33,81.4125,-81.4125,-15.7792
split_cifar10,ewc,42,lambda10,ablations,lambda,16.86,79.125,-79.125,-16.0042
split_cifar10,ewc,123,lambda10,ablations,lambda,16.65,81.3375,-81.3375,-15.9917
split_cifar10,ewc,456,lambda10,ablations,lambda,16.73,81.175,-81.175,-14.7292
split_cifar10,ewc,789,lambda10,ablations,lambda,15.79,78.85,-78.85,-14.8167
split_cifar10,ewc,1024,lambda10,ablations,lambda,15.93,79.0125,-79.0125,-15.7792
split_cifar10,ewc,42,lambda100,ablations,lambda,16.59,78.475,-78.475,-16.0042
split_cifar10,ewc,123,lambda100,ablations,lambda,16.37,75.15,-75.15,-15.9917
split_cifar10,ewc,456,lambda100,ablations,lambda,17.15,80.9625,-80.9625,-14.7292
split_cifar10,ewc,789,lambda100,ablations,lambda,17.2,79.2,-79.2,-14.8167
split_cifar10,ewc,1024,lambda100,ablations,lambda,17.16,81.3375,-81.3375,-15.7792
split_cifar10,ewc,42,lambda1000,ablations,lambda,16.63,78.45,-78.45,-16.0042
split_cifar10,ewc,123,lambda1000,ablations,lambda,14.15,79.425,-79.425,-15.9917
split_cifar10,ewc,456,lambda1000,ablations,lambda,16.66,82.45,-82.45,-14.7292
split_cifar10,ewc,789,lambda1000,ablations,lambda,15.58,77.7125,-77.7125,-14.8167
split_cifar10,ewc,1024,lambda1000,ablations,lambda,15.93,77.85,-77.85,-15.7792
split_cifar10,icarl,42,resumecheck,ablations,robustness,26.89,39.9625,-39.9625,-16.0417
split_cifar10,icarl,123,resumecheck,ablations,robustness,25.2,33.6375,-33.6375,-16.0417
split_cifar10,icarl,456,resumecheck,ablations,robustness,26.78,37.8375,-37.8375,-16.0417
split_cifar10,joint_training,42,resumecheck,ablations,robustness,66.28,9.85,-6.625,-15.7667
split_cifar10,joint_training,123,resumecheck,ablations,robustness,65.84,8.2875,-2.4875,-15.7792
split_cifar10,joint_training,456,resumecheck,ablations,robustness,65.19,7.5625,-6.2375,-15.2667
