dataset,method,seed,run_tag,ablation_family,config,run_dir_exists,log_exists,metrics_csv_exists,checkpoint_dir_exists,checkpoint_files,log_starts,completed,status,total_time_sec,mean_task_time_sec,max_task_time_sec,n_completed_tasks,avg_accuracy,forgetting,backward_transfer,forward_transfer
split_cifar10,er_ewc,42,buf100,buffer,ablate_split_cifar10_er_ewc_buf100.yaml,True,True,True,True,0,1,True,completed,197.4,39.48,56.2,5,21.45,76.45,-76.45,-15.8542
split_cifar10,er_ewc,123,buf100,buffer,ablate_split_cifar10_er_ewc_buf100.yaml,True,True,True,True,0,1,True,completed,193.7,38.74,60.0,5,23.63,76.05,-76.05,-15.9292
split_cifar10,er_ewc,456,buf100,buffer,ablate_split_cifar10_er_ewc_buf100.yaml,True,True,True,True,0,1,True,completed,188.4,37.68,44.6,5,20.2,74.8625,-74.8625,-15.4542
split_cifar10,er_ewc,789,buf100,buffer,ablate_split_cifar10_er_ewc_buf100.yaml,True,True,True,True,0,1,True,completed,194.2,38.84,55.7,5,20.68,79.7375,-79.7375,-13.3167
split_cifar10,er_ewc,1024,buf100,buffer,ablate_split_cifar10_er_ewc_buf100.yaml,True,True,True,True,0,1,True,completed,196.5,39.3,54.8,5,20.59,79.0375,-79.0375,-15.6417
split_cifar10,er_ewc,42,buf200,buffer,ablate_split_cifar10_er_ewc_buf200.yaml,True,True,True,True,0,1,True,completed,211.3,42.26,64.0,5,22.94,73.0625,-73.0625,-15.5167
split_cifar10,er_ewc,123,buf200,buffer,ablate_split_cifar10_er_ewc_buf200.yaml,True,True,True,True,0,1,True,completed,211.1,42.22,68.0,5,23.6,73.325,-73.325,-15.5792
split_cifar10,er_ewc,456,buf200,buffer,ablate_split_cifar10_er_ewc_buf200.yaml,True,True,True,True,0,1,True,completed,175.8,35.16,62.2,5,24.67,71.6375,-71.6375,-15.7417
split_cifar10,er_ewc,789,buf200,buffer,ablate_split_cifar10_er_ewc_buf200.yaml,True,True,True,True,0,1,True,completed,185.7,37.14,53.4,5,22.03,76.975,-76.975,-14.2042
split_cifar10,er_ewc,1024,buf200,buffer,ablate_split_cifar10_er_ewc_buf200.yaml,True,True,True,True,0,1,True,completed,197.7,39.54,54.0,5,24.37,70.8125,-70.8125,-15.4792
split_cifar10,er_ewc,42,buf500,buffer,ablate_split_cifar10_er_ewc_buf500.yaml,True,True,True,True,0,1,True,completed,193.0,38.6,70.2,5,29.88,60.8125,-60.8125,-15.8667
split_cifar10,er_ewc,123,buf500,buffer,ablate_split_cifar10_er_ewc_buf500.yaml,True,True,True,True,0,1,True,completed,166.1,33.22,49.5,5,27.73,67.15,-67.15,-16.0292
