dataset,method,seed,config,run_dir_exists,log_exists,metrics_csv_exists,checkpoint_dir_exists,checkpoint_files,log_starts,completed,status,avg_accuracy,forgetting,backward_transfer,forward_transfer
split_mini_imagenet,agem,42,split_mini_imagenet_agem.yaml,True,True,True,True,2,2,True,completed,1.85,32.6754,-32.6754,-2.7345
split_mini_imagenet,agem,123,split_mini_imagenet_agem.yaml,True,True,True,True,0,1,True,completed,1.6,29.5263,-29.5263,-2.7345
split_mini_imagenet,agem,456,split_mini_imagenet_agem.yaml,True,True,True,True,0,1,True,completed,2.1167,30.6579,-30.6579,-2.7257
split_mini_imagenet,agem,789,split_mini_imagenet_agem.yaml,True,True,True,True,0,1,True,completed,2.0,32.4561,-32.4561,-2.7345
split_mini_imagenet,agem,1024,split_mini_imagenet_agem.yaml,True,True,True,True,0,1,True,completed,2.1083,35.7105,-35.7105,-2.7169
split_mini_imagenet,agem_distill,42,split_mini_imagenet_agem_distill.yaml,True,True,True,True,0,1,True,completed,2.3833,33.8947,-33.8947,-2.7345
split_mini_imagenet,agem_distill,123,split_mini_imagenet_agem_distill.yaml,True,True,True,True,0,1,True,completed,2.3583,36.7632,-36.7632,-2.7345
split_mini_imagenet,agem_distill,456,split_mini_imagenet_agem_distill.yaml,True,True,True,True,0,1,True,completed,2.4583,35.9211,-35.9211,-2.7257
split_mini_imagenet,agem_distill,789,split_mini_imagenet_agem_distill.yaml,True,True,True,True,0,1,True,completed,2.0083,30.8684,-30.8684,-2.7345
split_mini_imagenet,agem_distill,1024,split_mini_imagenet_agem_distill.yaml,True,True,True,True,0,1,True,completed,2.3,36.5439,-36.5439,-2.7169
split_mini_imagenet,der,42,split_mini_imagenet_der.yaml,True,True,True,True,0,1,True,completed,2.5333,35.4123,-35.4123,-2.6555
split_mini_imagenet,der,123,split_mini_imagenet_der.yaml,True,True,True,True,0,1,True,completed,1.925,35.2895,-35.2895,-2.7257
split_mini_imagenet,der,456,split_mini_imagenet_der.yaml,True,True,True,True,0,1,True,completed,1.6667,33.9035,-33.9035,-2.7345
split_mini_imagenet,der,789,split_mini_imagenet_der.yaml,True,True,True,True,0,1,True,completed,2.0583,32.9211,-32.9211,-2.5415
split_mini_imagenet,der,1024,split_mini_imagenet_der.yaml,True,True,True,True,0,1,True,completed,1.6167,34.193,-34.193,-2.4888
split_mini_imagenet,er_ewc,42,split_mini_imagenet_er_ewc.yaml,True,True,True,True,0,1,True,completed,3.2917,44.8509,-44.8509,-2.7257
split_mini_imagenet,er_ewc,123,split_mini_imagenet_er_ewc.yaml,True,True,True,True,0,1,True,completed,3.025,43.1754,-43.1754,-2.7345
split_mini_imagenet,er_ewc,456,split_mini_imagenet_er_ewc.yaml,True,True,True,True,0,1,True,completed,3.8083,46.2281,-46.2281,-2.7169
split_mini_imagenet,er_ewc,789,split_mini_imagenet_er_ewc.yaml,True,True,True,True,0,1,True,completed,3.55,43.4298,-43.4298,-2.7345
split_mini_imagenet,er_ewc,1024,split_mini_imagenet_er_ewc.yaml,True,True,True,True,0,1,True,completed,3.0083,45.3947,-45.3947,-2.7345
split_mini_imagenet,ewc,42,split_mini_imagenet_ewc.yaml,True,True,True,True,0,1,True,completed,2.2083,31.7105,-31.7105,-2.7345
split_mini_imagenet,ewc,123,split_mini_imagenet_ewc.yaml,True,True,True,True,0,1,True,completed,1.9333,27.4035,-27.4035,-2.7345
