dataset,method,model,n_epochs,batch_size,num_workers,fp16,buffer_size,seeds,total_time_sec_mean,total_time_sec_std,caveat_note,avg_accuracy_mean,avg_accuracy_std,forgetting_mean,forgetting_std,backward_transfer_mean,backward_transfer_std,forward_transfer_mean,forward_transfer_std,runtime_hours_mean,runtime_hours_std,estimated_memory_mb,method_family
permuted_mnist,agem_distill,slim_resnet18,1,32,2,False,200,5,1732.8799999999999,89.36848997269665,Run log contains restarts; final metrics were read from the last completed metrics block.,62.561800000000005,3.479910372409036,37.012879999999996,4.033209091653943,-36.53424,4.287848481814627,2.44844,0.6189828293256607,0.48135555555555554,0.024824580547971292,0.9375,hybrid
permuted_mnist,si_der,slim_resnet18,1,32,2,False,200,5,1738.22,89.15597007491984,Run log contains restarts; final metrics were read from the last completed metrics block.,70.86580000000001,1.5778568376123334,29.26422,1.7297452910761169,-29.26422,1.7297452910761169,0.99286,0.5737446191468814,0.4828388888888889,0.024765547243033287,16.0,hybrid
split_cifar10,fine_tune,slim_resnet18,1,32,0,False,200,5,56.7,1.838477631085024,,15.862,0.5988488957992666,78.6075,2.40061190116187,-78.6075,2.40061190116187,-15.4642,0.6380757204282258,0.01575,0.0005106882308569511,2.3438,baseline
split_cifar10,joint_training,slim_resnet18,1,32,0,False,200,5,54.58,0.3193743884534263,,63.708000000000006,1.9211767227405163,10.9575,3.955095605671246,-7.4275,5.330465211874101,-15.546700000000001,0.3296067732920552,0.015161111111111111,8.871510790372952e-05,2048.0,baseline
split_cifar10,ewc,slim_resnet18,1,32,0,False,200,5,111.16,7.508195522227693,,16.894,0.38630298989264783,79.025,2.4723628627286875,-79.025,2.4723628627286875,-15.4642,0.6380757204282258,0.03087777777777778,0.0020856098672854704,16.0,baseline
split_cifar10,agem,slim_resnet18,1,32,0,False,200,5,100.17999999999999,6.025529022417871,,15.978,1.0129017721378522,79.35,2.1770285080816008,-79.35,2.1770285080816008,-15.4642,0.6380757204282258,0.027827777777777774,0.001673758061782742,2.3438,baseline
split_cifar10,lwf,slim_resnet18,1,32,0,False,200,5,61.760000000000005,1.2157302332343332,,15.931999999999999,0.5591690263238841,78.2675,2.71219180276765,-78.2675,2.71219180276765,-15.4642,0.6380757204282258,0.017155555555555556,0.00033770284256509257,2.3438,baseline
split_cifar10,der,slim_resnet18,1,32,0,False,200,5,98.61999999999999,1.6783920876839256,,16.624000000000002,0.5289423409030515,80.265,1.3377453046077228,-80.265,1.3377453046077228,-13.1367,2.932223985305351,0.027394444444444443,0.000466220024356646,2.8125,hybrid
split_cifar10,xder,slim_resnet18,1,32,0,False,200,5,107.74000000000001,8.938568117992945,,21.216,1.306303946254468,74.1875,3.919950972269936,-74.1875,3.919950972269936,-14.1567,1.8445527913291058,0.02992777777777778,0.0024829355883313736,2.8125,hybrid
split_cifar10,icarl,slim_resnet18,1,32,0,False,500,5,74.44,1.588395416764978,,27.248,1.50018998796819,39.754999999999995,2.550775004777959,-39.754999999999995,2.550775004777959,-16.0417,0.0,0.020677777777777778,0.0004412209491013828,7.0312,hybrid
