dataset,metric,method_a,method_b,n_pairs,rank_biserial,magnitude
split_cifar100,forgetting,ewc,progress_compress,5,-1.0,large
split_cifar100,forgetting,ewc,agem_distill,5,-1.0,large
split_cifar100,forgetting,ewc,si_der,5,-1.0,large
split_cifar100,forgetting,agem,lwf,5,-0.6,large
split_cifar100,forgetting,agem,der,5,-0.733333,large
split_cifar100,forgetting,agem,xder,5,-0.466667,medium
split_cifar100,forgetting,agem,icarl,5,1.0,large
split_cifar100,forgetting,agem,er_ewc,5,-1.0,large
split_cifar100,forgetting,agem,progress_compress,5,-1.0,large
split_cifar100,forgetting,agem,agem_distill,5,-1.0,large
split_cifar100,forgetting,agem,si_der,5,-1.0,large
split_cifar100,forgetting,lwf,der,5,-0.733333,large
split_cifar100,forgetting,lwf,xder,5,-0.333333,medium
split_cifar100,forgetting,lwf,icarl,5,1.0,large
split_cifar100,forgetting,lwf,er_ewc,5,-1.0,large
split_cifar100,forgetting,lwf,progress_compress,5,-1.0,large
split_cifar100,forgetting,lwf,agem_distill,5,-1.0,large
split_cifar100,forgetting,lwf,si_der,5,-0.866667,large
split_cifar100,forgetting,der,xder,5,0.066667,negligible
split_cifar100,forgetting,der,icarl,5,1.0,large
split_cifar100,forgetting,der,er_ewc,5,-1.0,large
split_cifar100,forgetting,der,progress_compress,5,-1.0,large
split_cifar100,forgetting,der,agem_distill,5,-0.733333,large
split_cifar100,forgetting,der,si_der,5,-0.066667,negligible
split_cifar100,forgetting,xder,icarl,5,1.0,large
split_cifar100,forgetting,xder,er_ewc,5,-1.0,large
split_cifar100,forgetting,xder,progress_compress,5,-0.733333,large
split_cifar100,forgetting,xder,agem_distill,5,-0.2,small
split_cifar100,forgetting,xder,si_der,5,0.066667,negligible
split_cifar100,forgetting,icarl,er_ewc,5,-1.0,large
split_cifar100,forgetting,icarl,progress_compress,5,-1.0,large
split_cifar100,forgetting,icarl,agem_distill,5,-1.0,large
split_cifar100,forgetting,icarl,si_der,5,-1.0,large
split_cifar100,forgetting,er_ewc,progress_compress,5,1.0,large
split_cifar100,forgetting,er_ewc,agem_distill,5,1.0,large
split_cifar100,forgetting,er_ewc,si_der,5,1.0,large
split_cifar100,forgetting,progress_compress,agem_distill,5,1.0,large
split_cifar100,forgetting,progress_compress,si_der,5,1.0,large
split_cifar100,forgetting,agem_distill,si_der,5,0.8,large
split_mini_imagenet,avg_accuracy,fine_tune,joint_training,5,-1.0,large
split_mini_imagenet,avg_accuracy,fine_tune,ewc,5,-0.2,small
split_mini_imagenet,avg_accuracy,fine_tune,agem,5,-0.066667,negligible
split_mini_imagenet,avg_accuracy,fine_tune,lwf,5,0.333333,medium
split_mini_imagenet,avg_accuracy,fine_tune,der,5,-0.066667,negligible
split_mini_imagenet,avg_accuracy,fine_tune,xder,5,-1.0,large
split_mini_imagenet,avg_accuracy,fine_tune,icarl,5,-1.0,large
split_mini_imagenet,avg_accuracy,fine_tune,er_ewc,5,-1.0,large
split_mini_imagenet,avg_accuracy,fine_tune,progress_compress,5,-1.0,large
split_mini_imagenet,avg_accuracy,fine_tune,agem_distill,5,-1.0,large
split_mini_imagenet,avg_accuracy,fine_tune,si_der,5,-1.0,large
split_mini_imagenet,avg_accuracy,joint_training,ewc,5,1.0,large
split_mini_imagenet,avg_accuracy,joint_training,agem,5,1.0,large
split_mini_imagenet,avg_accuracy,joint_training,lwf,5,1.0,large
split_mini_imagenet,avg_accuracy,joint_training,der,5,1.0,large
split_mini_imagenet,avg_accuracy,joint_training,xder,5,1.0,large
