dataset,method,seed,run_name,config_name,model,n_epochs,batch_size,num_workers,fp16,buffer_size,total_time_sec,log_starts,completed,caveat_note,avg_accuracy,forgetting,backward_transfer,forward_transfer
split_cifar10,lwf,456,split_cifar10_lwf_seed456,split_cifar10_lwf.yaml,slim_resnet18,1,32,0,False,200,61.5,1,True,,15.04,80.775,-80.775,-14.7292
split_cifar10,lwf,789,split_cifar10_lwf_seed789,split_cifar10_lwf.yaml,slim_resnet18,1,32,0,False,200,62.0,1,True,,16.22,76.1875,-76.1875,-14.8167
split_cifar10,lwf,1024,split_cifar10_lwf_seed1024,split_cifar10_lwf.yaml,slim_resnet18,1,32,0,False,200,63.7,1,True,,16.53,80.475,-80.475,-15.7792
split_cifar10,progress_compress,42,split_cifar10_progress_compress_seed42,split_cifar10_progress_compress.yaml,slim_resnet18,1,32,0,False,200,65.4,1,True,,17.8,79.775,-79.775,-15.6667
split_cifar10,progress_compress,123,split_cifar10_progress_compress_seed123,split_cifar10_progress_compress.yaml,slim_resnet18,1,32,0,False,200,62.3,1,True,,18.01,80.575,-80.575,-15.6042
split_cifar10,progress_compress,456,split_cifar10_progress_compress_seed456,split_cifar10_progress_compress.yaml,slim_resnet18,1,32,0,False,200,63.7,1,True,,17.89,78.4875,-78.4875,-12.8167
split_cifar10,progress_compress,789,split_cifar10_progress_compress_seed789,split_cifar10_progress_compress.yaml,slim_resnet18,1,32,0,False,200,62.8,1,True,,18.12,81.175,-81.175,-9.9167
split_cifar10,progress_compress,1024,split_cifar10_progress_compress_seed1024,split_cifar10_progress_compress.yaml,slim_resnet18,1,32,0,False,200,62.0,1,True,,16.97,80.825,-80.825,-15.7167
split_cifar10,si_der,42,split_cifar10_si_der_seed42,split_cifar10_si_der.yaml,slim_resnet18,1,32,0,False,200,142.9,1,True,,16.34,78.1375,-78.1375,-16.0417
split_cifar10,si_der,123,split_cifar10_si_der_seed123,split_cifar10_si_der.yaml,slim_resnet18,1,32,0,False,200,178.2,1,True,,16.52,79.35,-79.35,-16.0417
split_cifar10,si_der,456,split_cifar10_si_der_seed456,split_cifar10_si_der.yaml,slim_resnet18,1,32,0,False,200,210.1,1,True,,17.41,80.7625,-80.7625,-9.2167
split_cifar10,si_der,789,split_cifar10_si_der_seed789,split_cifar10_si_der.yaml,slim_resnet18,1,32,0,False,200,167.5,1,True,,17.41,80.85,-80.85,-11.7667
split_cifar10,si_der,1024,split_cifar10_si_der_seed1024,split_cifar10_si_der.yaml,slim_resnet18,1,32,0,False,200,167.9,1,True,,17.34,81.5125,-81.5125,-12.6167
split_cifar10,xder,42,split_cifar10_xder_seed42,split_cifar10_xder.yaml,slim_resnet18,1,32,0,False,200,113.8,1,True,,23.47,68.45,-68.45,-16.0417
split_cifar10,xder,123,split_cifar10_xder_seed123,split_cifar10_xder.yaml,slim_resnet18,1,32,0,False,200,108.8,1,True,,20.94,72.625,-72.625,-16.0417
split_cifar10,xder,456,split_cifar10_xder_seed456,split_cifar10_xder.yaml,slim_resnet18,1,32,0,False,200,110.4,1,True,,20.23,76.4625,-76.4625,-11.8167
split_cifar10,xder,789,split_cifar10_xder_seed789,split_cifar10_xder.yaml,slim_resnet18,1,32,0,False,200,113.5,1,True,,20.4,78.7375,-78.7375,-13.3917
split_cifar10,xder,1024,split_cifar10_xder_seed1024,split_cifar10_xder.yaml,slim_resnet18,1,32,0,False,200,92.2,1,True,,21.04,74.6625,-74.6625,-13.4917
split_cifar100,agem,42,split_cifar100_agem_seed42,split_cifar100_agem.yaml,slim_resnet18,1,32,0,True,200,120.1,1,True,,2.01,40.9158,-40.9158,-2.7345
split_cifar100,agem,123,split_cifar100_agem_seed123,split_cifar100_agem.yaml,slim_resnet18,1,32,0,True,200,129.1,1,True,,2.37,41.1053,-41.1053,-2.7345
