dataset,method,method_family,model,seeds,batch_size,num_workers,fp16,buffer_size,estimated_memory_mb,runtime_hours_mean,runtime_hours_std,avg_accuracy_mean,avg_accuracy_std,forgetting_mean,forgetting_std,backward_transfer_mean,backward_transfer_std,forward_transfer_mean,forward_transfer_std,caveat_note,avg_accuracy_mean_std,forgetting_mean_std,backward_transfer_mean_std,forward_transfer_mean_std,runtime_hours_mean_std
split_cifar100,er_ewc,hybrid,slim_resnet18,5,32,0,True,200,16.0,0.1077111111111111,0.0070980674643451366,4.4799999999999995,0.309273341883842,58.27578,2.163901785432971,-58.27578,2.163901785432971,-2.73028,0.00943620686504914,,4.4800 +/- 0.3093,58.2758 +/- 2.1639,-58.2758 +/- 2.1639,-2.7303 +/- 0.0094,0.1077 +/- 0.0071
split_cifar100,progress_compress,hybrid,slim_resnet18,5,32,0,True,200,256.0,0.02213333333333333,0.0008266864543629351,3.5519999999999996,0.2365797962633326,52.751580000000004,1.3336361748992842,-52.751580000000004,1.3336361748992842,-2.7218600000000004,0.01883329498521174,,3.5520 +/- 0.2366,52.7516 +/- 1.3336,-52.7516 +/- 1.3336,-2.7219 +/- 0.0188,0.0221 +/- 0.0008
split_cifar100,agem_distill,hybrid,slim_resnet18,5,32,0,True,200,2.8125,0.03897777777777778,0.0006923301146521922,2.722,0.2391024884855865,46.53474,2.1191415226454344,-46.53474,2.1191415226454344,-2.7345,0.0,,2.7220 +/- 0.2391,46.5347 +/- 2.1191,-46.5347 +/- 2.1191,-2.7345 +/- 0.0000,0.0390 +/- 0.0007
split_cifar100,si_der,hybrid,slim_resnet18,5,32,0,True,200,16.0,0.04476666666666666,0.0059617673346991995,2.8619999999999997,0.17049926686059375,44.98106,1.7287855456938561,-44.98106,1.7287855456938561,-2.69658,0.06763938941179169,,2.8620 +/- 0.1705,44.9811 +/- 1.7288,-44.9811 +/- 1.7288,-2.6966 +/- 0.0676,0.0448 +/- 0.0060
split_mini_imagenet,fine_tune,baseline,slim_resnet18,5,32,0,True,200,16.1499,0.10582222222222223,0.005262133245775543,1.94,0.27168251692002554,29.64034,1.4223951237261745,-29.64034,1.4223951237261745,-2.72922,0.007870959280799329,,1.9400 +/- 0.2717,29.6403 +/- 1.4224,-29.6403 +/- 1.4224,-2.7292 +/- 0.0079,0.1058 +/- 0.0053
split_mini_imagenet,joint_training,baseline,slim_resnet18,5,32,0,True,200,2048.0,0.22335555555555556,0.24107756215007284,45.18834,2.274359629214342,3.5473399999999997,1.4352541039829845,19.84562,1.0789925866288423,-2.7309799999999997,0.004819958506045574,Run log contains restarts; final metrics were read from the last completed metrics block.,45.1883 +/- 2.2744,3.5473 +/- 1.4353,19.8456 +/- 1.0790,-2.7310 +/- 0.0048,0.2234 +/- 0.2411
split_mini_imagenet,ewc,baseline,slim_resnet18,5,32,0,True,200,16.1499,0.16355555555555554,0.008869510126074804,2.07498,0.10018039728409947,28.96314,2.1664357463354422,-28.96314,2.1664357463354422,-2.72922,0.007870959280799329,,2.0750 +/- 0.1002,28.9631 +/- 2.1664,-28.9631 +/- 2.1664,-2.7292 +/- 0.0079,0.1636 +/- 0.0089
split_mini_imagenet,agem,baseline,slim_resnet18,5,32,0,True,200,16.1499,0.15139999999999998,0.006603976075062675,1.935,0.21605715678958645,32.20524,2.3527542068817993,-32.20524,2.3527542068817993,-2.72922,0.007870959280799329,Run log contains restarts; final metrics were read from the last completed metrics block.,1.9350 +/- 0.2161,32.2052 +/- 2.3528,-32.2052 +/- 2.3528,-2.7292 +/- 0.0079,0.1514 +/- 0.0066
split_mini_imagenet,lwf,baseline,slim_resnet18,5,32,0,True,200,16.1499,0.1806444444444444,0.1276006447359771,1.76498,0.43788116766995133,28.46666,2.706408064760374,-28.46666,2.706408064760374,-2.72572,0.015198749948597844,Run log contains restarts; final metrics were read from the last completed metrics block.,1.7650 +/- 0.4379,28.4667 +/- 2.7064,-28.4667 +/- 2.7064,-2.7257 +/- 0.0152,0.1806 +/- 0.1276
split_mini_imagenet,der,hybrid,slim_resnet18,5,32,0,True,200,19.3799,0.10212222222222223,0.005699509942113176,1.9600000000000002,0.3685921051786108,34.34388,1.0340116933574746,-34.34388,1.0340116933574746,-2.6292,0.11010844654248823,,1.9600 +/- 0.3686,34.3439 +/- 1.0340,-34.3439 +/- 1.0340,-2.6292 +/- 0.1101,0.1021 +/- 0.0057
split_mini_imagenet,xder,hybrid,slim_resnet18,5,32,0,True,200,19.3799,0.14319444444444446,0.0027141319690978495,2.65668,0.3329517412478872,39.80176,3.918944219812271,-39.80176,3.918944219812271,-2.652,0.06640971314499097,,2.6567 +/- 0.3330,39.8018 +/- 3.9189,-39.8018 +/- 3.9189,-2.6520 +/- 0.0664,0.1432 +/- 0.0027
split_mini_imagenet,icarl,hybrid,slim_resnet18,5,32,0,True,500,48.4497,0.11182777777777779,0.0032686667157673563,3.15666,0.5564395501759379,7.80698,2.0671295017487408,-6.2316,2.391682405755413,-2.7345,0.0,,3.1567 +/- 0.5564,7.8070 +/- 2.0671,-6.2316 +/- 2.3917,-2.7345 +/- 0.0000,0.1118 +/- 0.0033
split_mini_imagenet,er_ewc,hybrid,slim_resnet18,5,32,0,True,200,16.1499,0.15164444444444444,0.02043439706312211,3.3366599999999997,0.34457651254837435,44.61578,1.298346705237086,-44.61578,1.298346705237086,-2.72922,0.007870959280799422,,3.3367 +/- 0.3446,44.6158 +/- 1.2983,-44.6158 +/- 1.2983,-2.7292 +/- 0.0079,0.1516 +/- 0.0204
split_mini_imagenet,progress_compress,hybrid,slim_resnet18,5,32,0,True,200,256.0,0.13027222222222223,0.0025104257914387762,2.67668,0.14757747795649592,43.21578,1.1017143400174116,-43.21578,1.1017143400174116,-2.63096,0.1038827608412484,,2.6767 +/- 0.1476,43.2158 +/- 1.1017,-43.2158 +/- 1.1017,-2.6310 +/- 0.1039,0.1303 +/- 0.0025
split_mini_imagenet,agem_distill,hybrid,slim_resnet18,5,32,0,True,200,19.3799,0.1458111111111111,0.008881364002404699,2.30164,0.1735454637839895,34.79826,2.4712971377396116,-34.79826,2.4712971377396116,-2.72922,0.007870959280799329,,2.3016 +/- 0.1735,34.7983 +/- 2.4713,-34.7983 +/- 2.4713,-2.7292 +/- 0.0079,0.1458 +/- 0.0089
split_mini_imagenet,si_der,hybrid,slim_resnet18,5,32,0,True,200,19.3799,0.16252222222222223,0.00116755918241625,2.2450200000000002,0.1358562365149279,34.78072,1.374764604214119,-34.78072,1.374764604214119,-2.6292,0.11010844654248823,,2.2450 +/- 0.1359,34.7807 +/- 1.3748,-34.7807 +/- 1.3748,-2.6292 +/- 0.1101,0.1625 +/- 0.0012
